window_id,start_time,start_value_rain,start_value_dose_strength,end_time,end_value_rain,end_value_dose_strength,max_time_rain,max_value_rain,max_time_dose_strength,max_value_dose_strength,integral_rain,integral_dose_strength
2634,2017-08-10 03:00:00,6,0.104,2017-08-10 06:00:00,1,0.108,2017-08-10 04:00:00,14,2017-08-10 05:00:00,0.131,21,0.47
2638,2017-08-12 04:00:00,3,0.119,2017-08-12 08:00:00,2,0.112,2017-08-12 05:00:00,4,2017-08-12 07:00:00,0.13,12,0.483
2653,2017-08-19 12:00:00,2,0.0954,2017-08-19 15:00:00,2,0.0943,2017-08-19 14:00:00,2,2017-08-19 13:00:00,0.1,2,0.38930000000000003
2685,2017-09-04 18:00:00,1,0.0922,2017-09-04 20:00:00,1,0.0939,2017-09-04 19:00:00,1,2017-09-04 20:00:00,0.0939,1,0.2783
2686,2017-09-05 00:00:00,1,0.107,2017-09-05 02:00:00,2,0.111,2017-09-05 01:00:00,3,2017-09-05 01:00:00,0.111,6,0.329
2699,2017-09-11 17:00:00,3,0.0984,2017-09-11 18:00:00,1,0.104,2017-09-11 17:00:00,3,2017-09-11 18:00:00,0.104,4,0.2024
2722,2017-09-23 00:00:00,2,0.103,2017-09-23 02:00:00,2,0.0968,2017-09-23 00:00:00,2,2017-09-23 01:00:00,0.105,2,0.30479999999999996
2742,2017-10-03 00:00:00,1,0.105,2017-10-03 07:00:00,1,0.108,2017-10-03 01:00:00,2,2017-10-03 04:00:00,0.115,11,0.762
2747,2017-10-05 16:00:00,2,0.0995,2017-10-05 22:00:00,2,0.0995,2017-10-05 21:00:00,3,2017-10-05 16:00:00,0.0995,7,0.0995
2761,2017-10-12 13:00:00,8,0.0913,2017-10-12 17:00:00,8,0.0913,2017-10-12 14:00:00,8,2017-10-12 15:00:00,0.111,8,0.48319999999999996
2794,2017-10-29 02:00:00,2,0.103,2017-10-29 07:00:00,1,0.11,2017-10-29 02:00:00,2,2017-10-29 05:00:00,0.113,10,0.543
2953,2018-01-16 12:00:00,1,0.0982,2018-01-16 21:00:00,2,0.0982,2018-01-16 21:00:00,2,2018-01-16 12:00:00,0.0982,3,0.0982
3121,2018-04-10 15:00:00,7,0.099,2018-04-10 19:00:00,1,0.0993,2018-04-10 15:00:00,7,2018-04-10 17:00:00,0.118,14,0.5413
3127,2018-04-13 14:00:00,1,0.109,2018-04-13 17:00:00,1,0.101,2018-04-13 15:00:00,7,2018-04-13 16:00:00,0.123,9,0.33299999999999996
3183,2018-05-11 13:00:00,10,0.0989,2018-05-11 17:00:00,2,0.105,2018-05-11 13:00:00,10,2018-05-11 14:00:00,0.114,18,0.5329
3193,2018-05-16 12:00:00,24,0.144,2018-05-16 18:00:00,3,0.112,2018-05-16 12:00:00,24,2018-05-16 12:00:00,0.144,38,0.511
3195,2018-05-17 13:00:00,2,0.111,2018-05-17 16:00:00,2,0.0987,2018-05-17 13:00:00,2,2018-05-17 14:00:00,0.111,4,0.3157
3305,2018-07-11 14:00:00,2,0.109,2018-07-11 16:00:00,2,0.1,2018-07-11 14:00:00,2,2018-07-11 15:00:00,0.111,2,0.32
3307,2018-07-12 12:00:00,6,0.106,2018-07-12 15:00:00,6,0.0927,2018-07-12 12:00:00,6,2018-07-12 12:00:00,0.106,6,0.3866
3315,2018-07-16 12:00:00,1,0.0954,2018-07-16 15:00:00,2,0.109,2018-07-16 13:00:00,3,2018-07-16 15:00:00,0.109,6,0.4075
3316,2018-07-17 01:00:00,1,0.0975,2018-07-17 05:00:00,4,0.107,2018-07-17 04:00:00,4,2018-07-17 04:00:00,0.107,8,0.4093
3317,2018-07-17 12:00:00,6,0.101,2018-07-17 14:00:00,6,0.0998,2018-07-17 13:00:00,6,2018-07-17 13:00:00,0.108,6,0.3088
3319,2018-07-18 16:00:00,22,0.114,2018-07-18 18:00:00,1,0.103,2018-07-18 16:00:00,22,2018-07-18 17:00:00,0.128,23,0.345
3320,2018-07-19 01:00:00,17,0.102,2018-07-19 06:00:00,2,0.103,2018-07-19 01:00:00,17,2018-07-19 02:00:00,0.115,31,0.537
3335,2018-07-26 15:00:00,3,0.0934,2018-07-26 17:00:00,1,0.102,2018-07-26 16:00:00,3,2018-07-26 17:00:00,0.102,4,0.2869
3372,2018-08-14 04:00:00,3,0.0994,2018-08-14 10:00:00,1,0.0994,2018-08-14 09:00:00,3,2018-08-14 04:00:00,0.0994,4,0.0994
3393,2018-08-24 13:00:00,1,0.124,2018-08-24 18:00:00,2,0.112,2018-08-24 14:00:00,2,2018-08-24 15:00:00,0.128,3,0.583
3394,2018-08-25 02:00:00,2,0.111,2018-08-25 05:00:00,4,0.0976,2018-08-25 03:00:00,4,2018-08-25 03:00:00,0.111,6,0.3186
3395,2018-08-25 12:00:00,7,0.0909,2018-08-25 20:00:00,7,0.0909,2018-08-25 20:00:00,7,2018-08-25 12:00:00,0.0909,7,0.0909
3454,2018-09-24 00:00:00,4,0.124,2018-09-24 02:00:00,1,0.11,2018-09-24 00:00:00,4,2018-09-24 00:00:00,0.124,7,0.347
